run,dl,ul,ping,record time
0,266.006,253.778,11.626,2023-09-26 10:36:27
1,292.16,258.592,11.626,2023-09-26 10:37:27
2,294.154,256.54,11.626,2023-09-26 10:38:27
3,271.228,260.789,11.626,2023-09-26 10:39:27
4,326.162,262.57,11.626,2023-09-26 10:40:27
5,309.808,255.215,11.626,2023-09-26 10:41:27
6,244.78,228.203,11.626,2023-09-26 10:42:28
7,238.167,233.919,11.626,2023-09-26 10:43:29
8,293.715,245.772,11.626,2023-09-26 10:44:29
9,288.348,238.373,11.626,2023-09-26 10:45:29
10,316.034,249.219,11.626,2023-09-26 10:46:30
11,315.026,249.11,11.626,2023-09-26 10:47:30
12,269.611,48.855,11.626,2023-09-26 10:48:55
13,285.433,251.241,11.626,2023-09-26 10:49:55
14,260.172,221.95,11.626,2023-09-26 10:50:56
15,353.932,256.486,11.626,2023-09-26 10:51:56
16,366.993,258.525,11.626,2023-09-26 10:52:55
17,364.326,258.843,11.626,2023-09-26 10:53:54
18,356.045,258.984,11.626,2023-09-26 10:54:53
19,251.039,242.553,11.626,2023-09-26 10:55:53
20,361.088,258.786,11.626,2023-09-26 10:56:52
21,346.278,262.794,11.626,2023-09-26 10:57:52
22,373.687,258.396,11.626,2023-09-26 10:58:51
23,320.56,234.691,11.626,2023-09-26 10:59:51
24,243.619,242.569,11.626,2023-09-26 11:00:52
25,272.385,231.628,11.626,2023-09-26 11:01:52
26,351.637,254.288,11.626,2023-09-26 11:02:52
27,363.534,232.276,11.626,2023-09-26 11:03:51
28,283.434,230.913,11.626,2023-09-26 11:04:52
29,326.387,254.174,11.626,2023-09-26 11:05:52
30,355.03,252.699,11.626,2023-09-26 11:06:51
31,206.086,229.188,11.626,2023-09-26 11:07:52
32,304.735,257.136,11.626,2023-09-26 11:08:52
33,287.577,258.081,11.626,2023-09-26 11:09:52
34,364.124,261.296,11.626,2023-09-26 11:10:51
35,371.82,264.444,11.626,2023-09-26 11:11:50
36,264.684,225.709,11.626,2023-09-26 11:12:50
37,265.731,254.64,11.626,2023-09-26 11:13:51
38,340.492,255.081,11.626,2023-09-26 11:14:50
39,357.254,249.472,11.626,2023-09-26 11:15:50
40,360.763,256.185,11.626,2023-09-26 11:16:49
41,366.227,259.777,11.626,2023-09-26 11:17:48
42,342.013,260.102,11.626,2023-09-26 11:18:47
43,381.055,264.104,11.626,2023-09-26 11:19:46
44,362.939,260.008,11.626,2023-09-26 11:20:45
45,299.825,237.545,11.626,2023-09-26 11:21:46
46,237.74,215.07,11.626,2023-09-26 11:22:47
47,339.619,263.96,11.626,2023-09-26 11:23:46
48,387.528,267.296,11.626,2023-09-26 11:24:44
49,376,269.129,11.626,2023-09-26 11:25:43
50,345.213,263.891,11.626,2023-09-26 11:26:42
51,373.17,264.484,11.626,2023-09-26 11:27:41
52,379.081,261.541,11.626,2023-09-26 11:28:40
53,379.534,266.086,11.626,2023-09-26 11:29:38
54,389.784,265.278,11.626,2023-09-26 11:30:37
55,336.963,260.969,11.626,2023-09-26 11:31:36
56,300.512,264.777,11.626,2023-09-26 11:32:36
57,291.988,259.467,11.626,2023-09-26 11:33:36
58,263.245,248.888,11.626,2023-09-26 11:34:37
59,412.01,271.086,11.626,2023-09-26 11:35:35
60,191.137,234.543,11.626,2023-09-26 11:36:35
61,159.388,221.044,11.626,2023-09-26 11:37:36
62,235.223,203.785,11.626,2023-09-26 11:38:38
63,296.634,254.172,11.626,2023-09-26 11:39:38
64,202.141,189.515,11.626,2023-09-26 11:40:40
65,218.375,251.061,11.626,2023-09-26 11:41:40
66,172.442,217.29,11.626,2023-09-26 11:42:41
67,227.78,4.248,11.626,2023-09-26 11:44:07
68,419.793,175.399,11.626,2023-09-26 11:45:07
69,412.628,158.779,11.626,2023-09-26 11:46:08
70,137.389,159.865,11.626,2023-09-26 11:47:11
71,134.583,191.882,11.626,2023-09-26 11:48:13
72,91.782,176.017,11.626,2023-09-26 11:49:15
73,89.077,236.289,11.626,2023-09-26 11:50:16
74,116.875,251.635,11.626,2023-09-26 11:51:16
75,103.733,244.427,11.626,2023-09-26 11:52:16
76,143.922,217.344,11.626,2023-09-26 11:53:17
77,128.459,215.648,11.626,2023-09-26 11:54:18
78,105.047,229.934,11.626,2023-09-26 11:55:19
79,132.197,196.947,11.626,2023-09-26 11:56:21
80,155.102,242.026,11.626,2023-09-26 11:57:21
81,133.765,220.711,11.626,2023-09-26 11:58:22
82,206.318,225.793,11.626,2023-09-26 11:59:23
83,182.209,219.142,11.626,2023-09-26 12:00:24
84,206.582,199.959,11.626,2023-09-26 12:01:25
85,205.652,230.405,11.626,2023-09-26 12:02:26
86,238.973,215.683,11.626,2023-09-26 12:03:27
87,199.147,188.571,11.626,2023-09-26 12:04:29
88,244.177,245.515,11.626,2023-09-26 12:05:29
89,230.682,247.975,11.626,2023-09-26 12:06:30
90,233.704,252.213,11.626,2023-09-26 12:07:30
91,228.905,251.018,11.626,2023-09-26 12:08:30
92,220.06,244.623,11.626,2023-09-26 12:09:30
93,233.317,242.895,11.626,2023-09-26 12:10:31
94,220.382,254.964,11.626,2023-09-26 12:11:31
95,237.397,250.936,11.626,2023-09-26 12:12:31
96,239.468,249.202,11.626,2023-09-26 12:13:31
97,239.856,250.531,11.626,2023-09-26 12:14:31
98,203.572,247.209,11.626,2023-09-26 12:15:32
99,224.497,216.675,11.626,2023-09-26 12:16:33
100,234.123,240.508,11.626,2023-09-26 12:17:33
101,208.168,198.689,11.626,2023-09-26 12:18:35
102,179.405,218.924,11.626,2023-09-26 12:19:36
103,230.178,245.366,11.626,2023-09-26 12:20:36
104,247.589,250.189,11.626,2023-09-26 12:21:36
105,215.411,210.601,11.626,2023-09-26 12:22:37
106,315.71,264.724,11.626,2023-09-26 12:23:37
107,282.632,204.04,11.626,2023-09-26 12:24:39
108,0,0,11.626,2023-09-26 12:25:54
109,404.379,206.67,11.626,2023-09-26 12:26:53
110,396.006,263.473,11.626,2023-09-26 12:27:52
111,234.674,246.267,11.626,2023-09-26 12:28:52
112,218.104,243.869,11.626,2023-09-26 12:29:52
113,164.894,211.089,11.626,2023-09-26 12:30:54
114,240.493,210.403,11.626,2023-09-26 12:31:55
115,214.626,225.568,11.626,2023-09-26 12:32:56
116,209.337,239.652,11.626,2023-09-26 12:33:56
117,185.674,228.799,11.626,2023-09-26 12:34:57
118,199.716,236.458,11.626,2023-09-26 12:35:57
119,226.922,237.629,11.626,2023-09-26 12:36:58
120,189.347,204.225,11.626,2023-09-26 12:37:59
121,229.854,185.438,11.626,2023-09-26 12:39:01
122,180.51,239.467,11.626,2023-09-26 12:40:02
123,198.503,244.755,11.626,2023-09-26 12:41:02
124,224.524,234.498,11.626,2023-09-26 12:42:03
125,221.771,223.366,11.626,2023-09-26 12:43:04
126,221.889,244.609,11.626,2023-09-26 12:44:04
127,231.797,232.116,11.626,2023-09-26 12:45:04
128,209.245,245.06,11.626,2023-09-26 12:46:05
129,259.694,239.38,11.626,2023-09-26 12:47:05
130,233.132,233.443,11.626,2023-09-26 12:48:06
131,229.935,236.999,11.626,2023-09-26 12:49:06
132,206.712,229.267,11.626,2023-09-26 12:50:07
133,220.959,242.317,11.626,2023-09-26 12:51:08
134,222.497,232.166,11.626,2023-09-26 12:52:08
135,251.933,239.198,11.626,2023-09-26 12:53:09
136,221.809,247.527,11.626,2023-09-26 12:54:09
137,227.526,242.684,11.626,2023-09-26 12:55:09
138,186.571,237.2,11.626,2023-09-26 12:56:10
139,229.038,254.121,11.626,2023-09-26 12:57:10
140,228.563,247.326,11.626,2023-09-26 12:58:10
141,229.9,252.377,11.626,2023-09-26 12:59:11
142,220.638,210.593,11.626,2023-09-26 13:00:12
143,230.166,216.259,11.626,2023-09-26 13:01:13
