Run Count Download - Upload - PING Record Time
0 266.006 Mbps - 253.778 Mbps - 11.626 2023-09-26 10:36:26.856013
1 292.16 Mbps - 258.592 Mbps - 11.626 2023-09-26 10:37:26.923990
2 294.154 Mbps - 256.54 Mbps - 11.626 2023-09-26 10:38:27.019440
3 271.228 Mbps - 260.789 Mbps - 11.626 2023-09-26 10:39:27.039243
4 326.162 Mbps - 262.57 Mbps - 11.626 2023-09-26 10:40:27.078316
5 309.808 Mbps - 255.215 Mbps - 11.626 2023-09-26 10:41:27.298625
6 244.78 Mbps - 228.203 Mbps - 11.626 2023-09-26 10:42:28.075080
7 238.167 Mbps - 233.919 Mbps - 11.626 2023-09-26 10:43:28.657041
8 293.715 Mbps - 245.772 Mbps - 11.626 2023-09-26 10:44:28.905125
9 288.348 Mbps - 238.373 Mbps - 11.626 2023-09-26 10:45:29.483074
10 316.034 Mbps - 249.219 Mbps - 11.626 2023-09-26 10:46:29.687038
11 315.026 Mbps - 249.11 Mbps - 11.626 2023-09-26 10:47:29.882091
12 269.611 Mbps - 48.855 Mbps - 11.626 2023-09-26 10:48:55.201903
13 285.433 Mbps - 251.241 Mbps - 11.626 2023-09-26 10:49:55.371900
14 260.172 Mbps - 221.95 Mbps - 11.626 2023-09-26 10:50:56.295782
15 353.932 Mbps - 256.486 Mbps - 11.626 2023-09-26 10:51:55.654392
16 366.993 Mbps - 258.525 Mbps - 11.626 2023-09-26 10:52:54.601779
17 364.326 Mbps - 258.843 Mbps - 11.626 2023-09-26 10:53:53.631880
18 356.045 Mbps - 258.984 Mbps - 11.626 2023-09-26 10:54:52.839559
19 251.039 Mbps - 242.553 Mbps - 11.626 2023-09-26 10:55:53.337799
20 361.088 Mbps - 258.786 Mbps - 11.626 2023-09-26 10:56:52.401846
21 346.278 Mbps - 262.794 Mbps - 11.626 2023-09-26 10:57:51.778031
22 373.687 Mbps - 258.396 Mbps - 11.626 2023-09-26 10:58:50.580376
23 320.56 Mbps - 234.691 Mbps - 11.626 2023-09-26 10:59:51.157946
24 243.619 Mbps - 242.569 Mbps - 11.626 2023-09-26 11:00:51.582543
25 272.385 Mbps - 231.628 Mbps - 11.626 2023-09-26 11:01:52.191330
26 351.637 Mbps - 254.288 Mbps - 11.626 2023-09-26 11:02:51.603248
27 363.534 Mbps - 232.276 Mbps - 11.626 2023-09-26 11:03:51.116079
28 283.434 Mbps - 230.913 Mbps - 11.626 2023-09-26 11:04:51.716326
29 326.387 Mbps - 254.174 Mbps - 11.626 2023-09-26 11:05:51.814416
30 355.03 Mbps - 252.699 Mbps - 11.626 2023-09-26 11:06:51.257876
31 206.086 Mbps - 229.188 Mbps - 11.626 2023-09-26 11:07:51.952867
32 304.735 Mbps - 257.136 Mbps - 11.626 2023-09-26 11:08:51.973735
33 287.577 Mbps - 258.081 Mbps - 11.626 2023-09-26 11:09:52.033962
34 364.124 Mbps - 261.296 Mbps - 11.626 2023-09-26 11:10:51.010141
35 371.82 Mbps - 264.444 Mbps - 11.626 2023-09-26 11:11:49.740070
36 264.684 Mbps - 225.709 Mbps - 11.626 2023-09-26 11:12:50.489281
37 265.731 Mbps - 254.64 Mbps - 11.626 2023-09-26 11:13:50.650900
38 340.492 Mbps - 255.081 Mbps - 11.626 2023-09-26 11:14:50.368463
39 357.254 Mbps - 249.472 Mbps - 11.626 2023-09-26 11:15:49.770854
40 360.763 Mbps - 256.185 Mbps - 11.626 2023-09-26 11:16:48.886779
41 366.227 Mbps - 259.777 Mbps - 11.626 2023-09-26 11:17:47.839791
42 342.013 Mbps - 260.102 Mbps - 11.626 2023-09-26 11:18:47.395345
43 381.055 Mbps - 264.104 Mbps - 11.626 2023-09-26 11:19:45.911045
44 362.939 Mbps - 260.008 Mbps - 11.626 2023-09-26 11:20:44.959071
45 299.825 Mbps - 237.545 Mbps - 11.626 2023-09-26 11:21:45.506873
46 237.74 Mbps - 215.07 Mbps - 11.626 2023-09-26 11:22:46.551672
47 339.619 Mbps - 263.96 Mbps - 11.626 2023-09-26 11:23:46.110272
48 387.528 Mbps - 267.296 Mbps - 11.626 2023-09-26 11:24:44.482957
49 376.0 Mbps - 269.129 Mbps - 11.626 2023-09-26 11:25:43.022431
50 345.213 Mbps - 263.891 Mbps - 11.626 2023-09-26 11:26:42.457275
51 373.17 Mbps - 264.484 Mbps - 11.626 2023-09-26 11:27:41.127828
52 379.081 Mbps - 261.541 Mbps - 11.626 2023-09-26 11:28:39.777405
53 379.534 Mbps - 266.086 Mbps - 11.626 2023-09-26 11:29:38.342867
54 389.784 Mbps - 265.278 Mbps - 11.626 2023-09-26 11:30:36.627862
55 336.963 Mbps - 260.969 Mbps - 11.626 2023-09-26 11:31:36.314665
56 300.512 Mbps - 264.777 Mbps - 11.626 2023-09-26 11:32:36.316785
57 291.988 Mbps - 259.467 Mbps - 11.626 2023-09-26 11:33:36.385635
58 263.245 Mbps - 248.888 Mbps - 11.626 2023-09-26 11:34:36.790917
59 412.01 Mbps - 271.086 Mbps - 11.626 2023-09-26 11:35:34.576185
